-------------------- OFFSET 0 --------------------
id=0x0000 flags=0x0000 extra=0x0000 sprite=61
id=0x0100 flags=0x0000 extra=0x0000 sprite=62
id=0x0200 flags=0x0000 extra=0x0000 sprite=63
id=0x0300 flags=0x0000 extra=0x0000 sprite=64
id=0x0001 flags=0x0001 extra=0x00F0 sprite=136
id=0x008C flags=0x0090 extra=0x0094 sprite=137
id=0x008D flags=0x0091 extra=0x0095 sprite=138
id=0x008E flags=0x0092 extra=0x0096 sprite=139
id=0x008F flags=0x0093 extra=0x0097 sprite=10
id=0x00C1 flags=0x0000 extra=0x002B sprite=266
id=0x00C1 flags=0x00F0 extra=0x005A sprite=94
id=0x0062 flags=0x0066 extra=0x005B sprite=95
id=0x0063 flags=0x0067 extra=0x005C sprite=96
id=0x0064 flags=0x0068 extra=0x005D sprite=97
id=0x0065 flags=0x0069 extra=0x060A sprite=193
id=0x0000 flags=0x0000 extra=0x070A sprite=193
id=0x0000 flags=0x0000 extra=0x080A sprite=193
id=0x00C1 flags=0x0400 extra=0x0026 sprite=84
id=0x0A0A flags=0x00C1 extra=0x0400 sprite=38
id=0x0026 flags=0x0057 extra=0x0C0A sprite=193
id=0x00C1 flags=0x0400 extra=0x0026 sprite=78
id=0x0E0A flags=0x00C1 extra=0x0400 sprite=38
id=0x0026 flags=0x004D extra=0x100A sprite=193
id=0x00C1 flags=0x0400 extra=0x0026 sprite=81
id=0x120A flags=0x00C1 extra=0x0400 sprite=38
id=0x0026 flags=0x0053 extra=0x140A sprite=193
id=0x00C1 flags=0x0400 extra=0x0059 sprite=84
id=0x160A flags=0x00C1 extra=0x0400 sprite=89
id=0x0059 flags=0x0057 extra=0x180A sprite=193
id=0x00C1 flags=0x0400 extra=0x0059 sprite=78
id=0x1A0A flags=0x00C1 extra=0x0400 sprite=89
id=0x0059 flags=0x004D extra=0x1C0A sprite=193
id=0x00C1 flags=0x0400 extra=0x0059 sprite=81
id=0x1E0A flags=0x00C1 extra=0x0400 sprite=89
id=0x0059 flags=0x0053 extra=0x200A sprite=193
id=0x0000 flags=0x0000 extra=0x210A sprite=193
id=0x0000 flags=0x0000 extra=0x220A sprite=193
id=0x0000 flags=0x0000 extra=0x230A sprite=193
id=0x0000 flags=0x0000 extra=0x240A sprite=193
id=0x0000 flags=0x0000 extra=0x250A sprite=193
id=0x0000 flags=0x0000 extra=0x260A sprite=193
id=0x0000 flags=0x0000 extra=0x270A sprite=193
id=0x0000 flags=0x0000 extra=0x280A sprite=193
id=0x0000 flags=0x0000 extra=0x290A sprite=193
id=0x0000 flags=0x0000 extra=0x2A0A sprite=193
id=0x0000 flags=0x0000 extra=0x2B0A sprite=193
id=0x0000 flags=0x0000 extra=0x2C0A sprite=193
id=0x0000 flags=0x0000 extra=0x2D0A sprite=193
id=0x0000 flags=0x0000 extra=0x2E0A sprite=193
id=0x0000 flags=0x0000 extra=0x2F0A sprite=193
id=0x0000 flags=0x0000 extra=0x300A sprite=193
id=0x0000 flags=0x0000 extra=0x310A sprite=193
id=0x0000 flags=0x0000 extra=0x320A sprite=193
id=0x0000 flags=0x0000 extra=0x330A sprite=193
id=0x0000 flags=0x0000 extra=0x340A sprite=193
id=0x0000 flags=0x0000 extra=0x350A sprite=193
id=0x0000 flags=0x0000 extra=0x360A sprite=193
id=0x0000 flags=0x0000 extra=0x370A sprite=193
id=0x0000 flags=0x0000 extra=0x380A sprite=193
id=0x0000 flags=0x0000 extra=0x390A sprite=193
id=0x0000 flags=0x0000 extra=0x3A0A sprite=193
id=0x0000 flags=0x0000 extra=0x3B0A sprite=193
id=0x0000 flags=0x0000 extra=0x3C0A sprite=193
id=0x0000 flags=0x0000 extra=0x3D0A sprite=193
id=0x0000 flags=0x0000 extra=0x3E0A sprite=193
id=0x0000 flags=0x0000 extra=0x3F0A sprite=193
id=0x0000 flags=0x0000 extra=0x400A sprite=193
id=0x0000 flags=0x0000 extra=0x410A sprite=193
id=0x0000 flags=0x0000 extra=0x420A sprite=193
id=0x0000 flags=0x0000 extra=0x430A sprite=193
id=0x0000 flags=0x0000 extra=0x440A sprite=193
id=0x0000 flags=0x0000 extra=0x450A sprite=193
id=0x0000 flags=0x0000 extra=0x460A sprite=193
id=0x0000 flags=0x0000 extra=0x470A sprite=193
id=0x0000 flags=0x0000 extra=0x480A sprite=193
id=0x0000 flags=0x0000 extra=0x490A sprite=193
id=0x0000 flags=0x0000 extra=0x4A0A sprite=193
id=0x0000 flags=0x0000 extra=0x4B0A sprite=193
id=0x0000 flags=0x0000 extra=0x4C0A sprite=193
id=0x0000 flags=0x0000 extra=0x4D0A sprite=193
id=0x0000 flags=0x0000 extra=0x4E0A sprite=193
id=0x0000 flags=0x0000 extra=0x4F0A sprite=193
id=0x0000 flags=0x0000 extra=0x500A sprite=193
id=0x0000 flags=0x0000 extra=0x510A sprite=193
id=0x0000 flags=0x0000 extra=0x520A sprite=193
id=0x0000 flags=0x0000 extra=0x530A sprite=193
id=0x0000 flags=0x0000 extra=0x540A sprite=193
id=0x0000 flags=0x0000 extra=0x550A sprite=193
id=0x0000 flags=0x0000 extra=0x560A sprite=193
id=0x0000 flags=0x0000 extra=0x570A sprite=193
id=0x0000 flags=0x0000 extra=0x580A sprite=193
id=0x0000 flags=0x0000 extra=0x590A sprite=193
id=0x0000 flags=0x0000 extra=0x5A0A sprite=193
id=0x0000 flags=0x0000 extra=0x5B0A sprite=193
id=0x0000 flags=0x0000 extra=0x5C0A sprite=193
id=0x0000 flags=0x0000 extra=0x5D0A sprite=193
id=0x0000 flags=0x0000 extra=0x5E0A sprite=193
id=0x0000 flags=0x0000 extra=0x5F0A sprite=193
id=0x0000 flags=0x0000 extra=0x600A sprite=193
id=0x0000 flags=0x0000 extra=0x610A sprite=193
id=0x0000 flags=0x0000 extra=0x620A sprite=193
id=0x0000 flags=0x0000 extra=0x630A sprite=193
id=0x0000 flags=0x0000 extra=0x640A sprite=193
id=0x0000 flags=0x0000 extra=0x650A sprite=193
id=0x0000 flags=0x0000 extra=0x660A sprite=193
id=0x0000 flags=0x0000 extra=0x670A sprite=193
id=0x0000 flags=0x0000 extra=0x680A sprite=193
id=0x0000 flags=0x0000 extra=0x690A sprite=193
id=0x0000 flags=0x0000 extra=0x6A0A sprite=193
id=0x0000 flags=0x0000 extra=0x6B0A sprite=193
id=0x0000 flags=0x0000 extra=0x6C0A sprite=193
id=0x0000 flags=0x0000 extra=0x6D0A sprite=193
id=0x0000 flags=0x0000 extra=0x6E0A sprite=193
id=0x0000 flags=0x0000 extra=0x6F0A sprite=193
id=0x0000 flags=0x0000 extra=0x700A sprite=193
id=0x0000 flags=0x0000 extra=0x710A sprite=193
id=0x0000 flags=0x0000 extra=0x720A sprite=193
id=0x0000 flags=0x0000 extra=0x730A sprite=193
id=0x0000 flags=0x0000 extra=0x740A sprite=193
id=0x0000 flags=0x0000 extra=0x750A sprite=193
id=0x0000 flags=0x0000 extra=0x760A sprite=193
id=0x0000 flags=0x0000 extra=0x770A sprite=193
id=0x0000 flags=0x0000 extra=0x780A sprite=193
id=0x0000 flags=0x0000 extra=0x790A sprite=193
id=0x0000 flags=0x0000 extra=0x7A0A sprite=193
id=0x0000 flags=0x0000 extra=0x7B0A sprite=193
id=0x0000 flags=0x0000 extra=0x7C0A sprite=193
id=0x0000 flags=0x0000 extra=0x7D0A sprite=193
id=0x0000 flags=0x0000 extra=0x7E0A sprite=193
id=0x0000 flags=0x0000 extra=0x7F0A sprite=193
id=0x0000 flags=0x0000 extra=0x800A sprite=193
id=0x0000 flags=0x0000 extra=0x810A sprite=193
id=0x0000 flags=0x0000 extra=0x820A sprite=193
id=0x0000 flags=0x0000 extra=0x830A sprite=193
id=0x0000 flags=0x0000 extra=0x840A sprite=193
id=0x0000 flags=0x0000 extra=0x850A sprite=193
id=0x0000 flags=0x0000 extra=0x860A sprite=193
id=0x0000 flags=0x0000 extra=0x870A sprite=193
id=0x0000 flags=0x0000 extra=0x880A sprite=193
id=0x0000 flags=0x0000 extra=0x890A sprite=193
id=0x0000 flags=0x0000 extra=0x8A0A sprite=193
id=0x0000 flags=0x0000 extra=0x8B0A sprite=193
id=0x0000 flags=0x0000 extra=0x8C0A sprite=193
id=0x0000 flags=0x0000 extra=0x8D0A sprite=193
id=0x0000 flags=0x0000 extra=0x8E0A sprite=193
id=0x0000 flags=0x0000 extra=0x8F0A sprite=193
id=0x0000 flags=0x0000 extra=0x900A sprite=193
id=0x0000 flags=0x0000 extra=0x910A sprite=193
id=0x0000 flags=0x0000 extra=0x920A sprite=193
id=0x0000 flags=0x0000 extra=0x930A sprite=193
id=0x0000 flags=0x0000 extra=0x940A sprite=193
id=0x0000 flags=0x0000 extra=0x950A sprite=193
id=0x0000 flags=0x0000 extra=0x960A sprite=193
id=0x0000 flags=0x0000 extra=0x970A sprite=193
id=0x0000 flags=0x0000 extra=0x980A sprite=193
id=0x0000 flags=0x0000 extra=0x990A sprite=193
id=0x0000 flags=0x0000 extra=0x9A0A sprite=193
id=0x0000 flags=0x0000 extra=0x9B0A sprite=193
id=0x0000 flags=0x0000 extra=0x9C0A sprite=193
id=0x0000 flags=0x0000 extra=0x9D0A sprite=193
id=0x0000 flags=0x0000 extra=0x9E0A sprite=193
id=0x0000 flags=0x0000 extra=0x9F0A sprite=193
id=0x0000 flags=0x0000 extra=0xA00A sprite=193
id=0x0000 flags=0x0000 extra=0xA10A sprite=193
id=0x0000 flags=0x0000 extra=0xA20A sprite=193
id=0x0000 flags=0x0000 extra=0xA30A sprite=193
id=0x0000 flags=0x0000 extra=0xA40A sprite=193
id=0x0000 flags=0x0000 extra=0xA50A sprite=193
id=0x0000 flags=0x0000 extra=0xA60A sprite=193
id=0x04F0 flags=0x005A extra=0x0055 sprite=94
id=0x0055 flags=0x0062 extra=0x0055 sprite=102
id=0x0055 flags=0x005B extra=0x0055 sprite=95
id=0x0055 flags=0x0063 extra=0x0055 sprite=103
id=0x0055 flags=0x005C extra=0x0055 sprite=96
id=0x0055 flags=0x0064 extra=0x0055 sprite=104
id=0x0055 flags=0x005D extra=0x0055 sprite=97
id=0x0055 flags=0x0065 extra=0x0055 sprite=105
id=0x005A flags=0x0054 extra=0x005E sprite=84
id=0x0062 flags=0x0054 extra=0x0066 sprite=84
id=0x005B flags=0x0054 extra=0x005F sprite=84
id=0x0063 flags=0x0054 extra=0x0067 sprite=84
id=0x005C flags=0x0054 extra=0x0060 sprite=84
id=0x0064 flags=0x0054 extra=0x0068 sprite=84
id=0x005D flags=0x0054 extra=0x0061 sprite=84
id=0x0065 flags=0x0054 extra=0x0069 sprite=84
id=0xA80A flags=0x00C1 extra=0x04F0 sprite=90
id=0x0056 flags=0x005E extra=0x0056 sprite=98
id=0x0056 flags=0x0066 extra=0x0056 sprite=91
id=0x0056 flags=0x005F extra=0x0056 sprite=99
id=0x0056 flags=0x0067 extra=0x0056 sprite=92
id=0x0056 flags=0x0060 extra=0x0056 sprite=100
id=0x0056 flags=0x0068 extra=0x0056 sprite=93
id=0x0056 flags=0x0061 extra=0x0056 sprite=101
id=0x00C1 flags=0x04F0 extra=0x005A sprite=87
id=0x005E flags=0x0057 extra=0x0062 sprite=87
id=0x0066 flags=0x0057 extra=0x005B sprite=87
id=0x005F flags=0x0057 extra=0x0063 sprite=87
id=0x0067 flags=0x0057 extra=0x005C sprite=87
id=0x0060 flags=0x0057 extra=0x0064 sprite=87
id=0x0068 flags=0x0057 extra=0x005D sprite=87
id=0x0061 flags=0x0057 extra=0x0065 sprite=87
id=0x0069 flags=0x0057 extra=0xAA0A sprite=193
id=0x04F0 flags=0x005A extra=0x004F sprite=94
id=0x004F flags=0x0062 extra=0x004F sprite=102
id=0x004F flags=0x005B extra=0x004F sprite=95
id=0x004F flags=0x0063 extra=0x004F sprite=103
id=0x004F flags=0x005C extra=0x004F sprite=96
id=0x004F flags=0x0064 extra=0x004F sprite=104
id=0x004F flags=0x005D extra=0x004F sprite=97
id=0x004F flags=0x0065 extra=0x004F sprite=105
id=0x005A flags=0x004E extra=0x005E sprite=78
id=0x0062 flags=0x004E extra=0x0066 sprite=78
id=0x005B flags=0x004E extra=0x005F sprite=78
id=0x0063 flags=0x004E extra=0x0067 sprite=78
id=0x005C flags=0x004E extra=0x0060 sprite=78
id=0x0064 flags=0x004E extra=0x0068 sprite=78
id=0x005D flags=0x004E extra=0x0061 sprite=78
id=0x0065 flags=0x004E extra=0x0069 sprite=78
id=0xAC0A flags=0x00C1 extra=0x04F0 sprite=90
id=0x004C flags=0x005E extra=0x004C sprite=98
id=0x004C flags=0x0066 extra=0x004C sprite=91
id=0x004C flags=0x005F extra=0x004C sprite=99
id=0x004C flags=0x0067 extra=0x004C sprite=92
id=0x004C flags=0x0060 extra=0x004C sprite=100
id=0x004C flags=0x0068 extra=0x004C sprite=93
id=0x004C flags=0x0061 extra=0x004C sprite=101
id=0x00C1 flags=0x04F0 extra=0x005A sprite=77
id=0x005E flags=0x004D extra=0x0062 sprite=77
id=0x0066 flags=0x004D extra=0x005B sprite=77
id=0x005F flags=0x004D extra=0x0063 sprite=77
id=0x0067 flags=0x004D extra=0x005C sprite=77
id=0x0060 flags=0x004D extra=0x0064 sprite=77
id=0x0068 flags=0x004D extra=0x005D sprite=77
id=0x0061 flags=0x004D extra=0x0065 sprite=77
id=0x0069 flags=0x004D extra=0xAE0A sprite=193
id=0x04F0 flags=0x005A extra=0x0050 sprite=94
id=0x0050 flags=0x0062 extra=0x0050 sprite=102
id=0x0050 flags=0x005B extra=0x0050 sprite=95
id=0x0050 flags=0x0063 extra=0x0050 sprite=103
